ukb_code	uniprot_id	protein_name	gene_symbol	chr_hg19	start_bp_hg19	end_bp_hg19	olink_panel
135	P09525	Annexin A4	ANXA4	2	69871557	70053596	Cardiometabolic
136	P08758	Annexin A5	ANXA5	4	122589110	122618268	Neurology
137	P19801	Amiloride-sensitive amine oxidase [copper-containing]	AOC1	7	150521715	150558592	Inflammation
138	Q16853	Membrane primary amine oxidase	AOC3	17	41003201	41010147	Cardiometabolic
139	O75843	AP-1 complex subunit gamma-like 2	AP1G2	14	24028774	24037279	Oncology II
140	P63010	AP-2 complex subunit beta	AP2B1	17	33905065	34053436	Neurology II
141	O00203	AP-3 complex subunit beta-1	AP3B1	5	77296349	77590579	Oncology II
142	P59780	AP-3 complex subunit sigma-2	AP3S2	15	90373831	90437574	Neurology II
143	Q7Z5R6	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein	APBB1IP	10	26727132	26856732	Oncology
144	P02743	Serum amyloid P-component	APCS	1	159557615	159558655	Inflammation II
145	P27695	DNA-(apurinic or apyrimidinic site) endonuclease	APEX1	14	20923350	20925927	Oncology
146	P51693	Amyloid-like protein 1	APLP1	19	36358801	36370693	Cardiometabolic
147	P02647	Apolipoprotein A-I	APOA1	11	116706467	116708666	Inflammation II
148	P02652	Apolipoprotein A-II	APOA2	1	161192082	161193421	Inflammation II
149	P06727	Apolipoprotein A-IV	APOA4	11	116691419	116694022	Inflammation II
150	P04114	Apolipoprotein B-100	APOB	2	21224301	21266945	Inflammation II
151	Q0VD83	Apolipoprotein B receptor	APOBR	16	28505970	28510291	Cardiometabolic II
152	P02654	Apolipoprotein C-I	APOC1	19	45417504	45422606	Inflammation II
153	P05090	Apolipoprotein D	APOD	3	195295573	195311076	Inflammation II
154	P02649	Apolipoprotein E	APOE	19	45409011	45412650	Inflammation II
155	Q13790	Apolipoprotein F	APOF	12	56754353	56756607	Inflammation II
156	P02749	Beta-2-glycoprotein 1	APOH	17	64208151	64252643	Neurology
157	O14791	Apolipoprotein L1	APOL1	22	36649056	36663576	Inflammation II
158	O95445	Apolipoprotein M	APOM	6	31620193	31625987	Cardiometabolic
159	P05067	Amyloid-beta precursor protein	APP	21	27252861	27543446	Neurology
160	Q8NEU8	DCC-interacting protein 13-beta	APPL2	12	105567074	105630016	Inflammation II
161	P07741	Adenine phosphoribosyltransferase	APRT	16	88875747	88878352	Neurology
162	P10398	Serine/threonine-protein kinase A-Raf	ARAF	X	47420516	47431307	Oncology II
163	P15514	Amphiregulin	AREG	4	75310851	75320726	Oncology
164	P62330	ADP-ribosylation factor 6	ARF6	14	50359810	50361490	Oncology II
165	P53367	Arfaptin-1	ARFIP1	4	153701089	153839615	Neurology II
166	P05089	Arginase-1	ARG1	6	131894284	131905472	Oncology
167	P78540	Arginase-2, mitochondrial	ARG2	14	68086515	68118437	Oncology II
168	Q07960	Rho GTPase-activating protein 1	ARHGAP1	11	46698630	46722165	Oncology
169	P42331	Rho GTPase-activating protein 25	ARHGAP25	2	68906733	69053965	Oncology
170	Q7Z6I6	Rho GTPase-activating protein 30	ARHGAP30	1	161016736	161039760	Oncology II
171	Q92619	Rho GTPase-activating protein 45	ARHGAP45	19	1065922	1086627	Inflammation II
172	Q13017	Rho GTPase-activating protein 5	ARHGAP5	14	32545320	32628934	Oncology II
173	Q92888	Rho guanine nucleotide exchange factor 1	ARHGEF1	19	42387228	42434302	Neurology II
174	O15013	Rho guanine nucleotide exchange factor 10	ARHGEF10	8	1772142	1906807	Neurology II
175	Q9NZN5	Rho guanine nucleotide exchange factor 12	ARHGEF12	11	120207787	120360645	Inflammation
176	Q12774	Rho guanine nucleotide exchange factor 5	ARHGEF5	7	144052381	144077725	Neurology II
177	Q99856	AT-rich interactive domain-containing protein 3A	ARID3A	19	925781	975939	Neurology II
178	Q4LE39	AT-rich interactive domain-containing protein 4B	ARID4B	1	235294949	235491534	Neurology
179	Q3SXY8	ADP-ribosylation factor-like protein 13B	ARL13B	3	93698983	93774512	Cardiometabolic II
180	Q9Y2Y0	ADP-ribosylation factor-like protein 2-binding protein	ARL2BP	16	57279010	57287516	Cardiometabolic II
181	Q7L311	Armadillo repeat-containing X-linked protein 2	ARMCX2	X	100910267	100914876	Neurology II
182	P27540	Aryl hydrocarbon receptor nuclear translocator	ARNT	1	150782181	150849244	Inflammation
183	O00327	Aryl hydrocarbon receptor nuclear translocator-like protein 1	ARNTL	11	13298199	13408813	Cardiometabolic II
184	P15289	Arylsulfatase A	ARSA	22	51061182	51066607	Neurology
185	P15848	Arylsulfatase B	ARSB	5	78073032	78281910	Oncology
186	Q13508	Ecto-ADP-ribosyltransferase 3	ART3	4	76932337	77033955	Cardiometabolic
187	Q96L15	Ecto-ADP-ribosyltransferase 5	ART5	11	3659733	3663546	Neurology II
188	Q5T4W7	Artemin	ARTN	1	44398992	44402913	Inflammation
189	Q13510	Acid ceramidase	ASAH1	8	17913934	17942494	Cardiometabolic II
190	Q9NR71	Neutral ceramidase	ASAH2	10	51942538	52008370	Neurology
191	P07306	Asialoglycoprotein receptor 1	ASGR1	17	7076750	7082883	Neurology
192	P07307	Asialoglycoprotein receptor 2	ASGR2	17	7004641	7019019	Inflammation II
193	Q9BXN1	Asporin	ASPN	9	95218487	95244788	Cardiometabolic II
194	Q9BZE9	Tether containing UBX domain for GLUT4	ASPSCR1	17	79934683	79975282	Neurology II
195	Q7L266	Isoaspartyl peptidase/L-asparaginase	ASRGL1	11	62104920	62160882	Cardiometabolic II
196	P00966	Argininosuccinate synthase	ASS1	9	133320316	133376661	Cardiometabolic II
197	P15336	Cyclic AMP-dependent transcription factor ATF-2	ATF2	2	175936978	176033110	Neurology
198	P18848	Cyclic AMP-dependent transcription factor ATF-4	ATF4	22	39915700	39918691	Oncology II
199	Q676U5	Autophagy-related protein 16-1	ATG16L1	2	234118697	234204320	Oncology II
200	Q8WYN0	Cysteine protease ATG4A	ATG4A	X	107334898	107397901	Oncology
201	O00244	Copper transport protein ATOX1	ATOX1	5	151121877	151152093	Oncology
202	P05026	Sodium/potassium-transporting ATPase subunit beta-1	ATP1B1	1	169074935	169101960	Cardiometabolic II
203	P14415	Sodium/potassium-transporting ATPase subunit beta-2	ATP1B2	17	7549945	7561086	Cardiometabolic II
204	P54709	Sodium/potassium-transporting ATPase subunit beta-3	ATP1B3	3	141594966	141645356	Cardiometabolic II
205	Q9UN42	Protein ATP1B4	ATP1B4	X	119495967	119516226	Oncology II
206	P23634	Plasma membrane calcium-transporting ATPase 4	ATP2B4	1	203595689	203713209	Cardiometabolic II
207	P30049	ATP synthase subunit delta, mitochondrial	ATP5F1D	19	1241749	1244824	Cardiometabolic II
208	Q9UII2	ATPase inhibitor, mitochondrial	ATP5IF1	1	28562620	28573417	Inflammation
209	P48047	ATP synthase subunit O, mitochondrial	ATP5PO	21	35275757	35288284	Neurology
210	O75787	Renin receptor	ATP6AP2	X	40440146	40465889	Oncology
211	Q9Y5K8	V-type proton ATPase subunit D	ATP6V1D	14	67761088	67826982	Oncology
212	Q16864	V-type proton ATPase subunit F	ATP6V1F	7	128502880	128505898	Neurology
213	O75348	V-type proton ATPase subunit G 1	ATP6V1G1	9	117350026	117360653	Cardiometabolic II
214	O95670	V-type proton ATPase subunit G 2	ATP6V1G2	6	31512239	31516204	Cardiometabolic II
215	Q6UW56	All-trans retinoic acid-induced differentiation factor	ATRAID	2	27434895	27440046	Oncology II
216	O75882-2	Attractin, Isoform 2	ATRN	20	3451687	3631769	Inflammation II
217	Q9UBB4	Ataxin-10	ATXN10	22	46067678	46241187	Neurology
218	Q99700	Ataxin-2	ATXN2	12	111890018	112037480	Neurology II
219	Q8WWM7	Ataxin-2-like protein	ATXN2L	16	28834356	28848558	Neurology II
220	P54252	Ataxin-3	ATXN3	14	92524896	92572965	Neurology II
221	O15169	Axin-1	AXIN1	16	337440	402673	Inflammation
222	P30530	Tyrosine-protein kinase receptor UFO	AXL	19	41725108	41767671	Cardiometabolic
223	Q9H6S1	5-azacytidine-induced protein 2	AZI2	3	28356494	28390618	Neurology II
224	P20160	Azurocidin	AZU1	19	825097	832017	Cardiometabolic
225	P61769	Beta-2-microglobulin	B2M	15	45003675	45011075	Inflammation II
226	O94766	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	B3GAT3	11	62382768	62389647	Cardiometabolic II
227	Q8NFL0	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7	B3GNT7	2	232260254	232265875	Cardiometabolic II
228	P15291	Beta-1,4-galactosyltransferase 1	B4GALT1	9	33104080	33167354	Inflammation
229	O43505	Beta-1,4-glucuronyltransferase 1	B4GAT1	11	66112843	66115163	Neurology
230	Q9NWV8	BRISC and BRCA1-A complex member 1	BABAM1	19	17378159	17392058	Inflammation II
231	O14867	Transcription regulator protein BACH1	BACH1	21	30566392	31003071	Inflammation
232	O95817	BAG family molecular chaperone regulator 3	BAG3	10	121410882	121437331	Neurology
233	O95429	BAG family molecular chaperone regulator 4	BAG4	8	38034051	38070819	Inflammation II
234	P46379	Large proline-rich protein BAG6	BAG6	6	31606805	31620482	Cardiometabolic
235	Q9UQB8	Brain-specific angiogenesis inhibitor 1-associated protein 2	BAIAP2	17	79008948	79091232	Oncology
236	Q13145	BMP and activin membrane-bound inhibitor homolog	BAMBI	10	28966271	28971868	Oncology
237	Q8NDB2	B-cell scaffold protein with ankyrin repeats	BANK1	4	102332443	102995969	Inflammation
238	Q8IXM2	Chromatin complexes subunit BAP18	BAP18	17	6917814	6920844	Neurology II
239	Q16520	Basic leucine zipper transcriptional factor ATF-like	BATF	14	75988768	76013358	Neurology II
240	Q07812	Apoptosis regulator BAX	BAX	19	49458072	49465055	Neurology
241	P50895	Basal cell adhesion molecule	BCAM	19	45312328	45324673	Neurology
242	Q96GW7	Brevican core protein	BCAN	1	156611182	156629324	Neurology
243	P54687	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1	12	24964295	25102393	Cardiometabolic II
244	O15382	Branched-chain-amino-acid aminotransferase, mitochondrial	BCAT2	19	49298319	49314286	Neurology II
245	P06276	Cholinesterase	BCHE	3	165490692	165555260	Inflammation II
246	P10415	Apoptosis regulator Bcl-2	BCL2	18	60790579	60987361	Oncology II
247	Q07817	Bcl-2-like protein 1	BCL2L1	20	30252255	30311792	Neurology II
248	O43521-2	Bcl-2-like protein 11, Isoform BimL 	BCL2L11	2	111876955	111926024	Inflammation
249	Q5TBC7	Bcl-2-like protein 15	BCL2L15	1	114420790	114430169	Inflammation II
250	Q4VC05	B-cell CLL/lymphoma 7 protein family member A	BCL7A	12	122457328	122499948	Oncology II
251	Q9BQE9	B-cell CLL/lymphoma 7 protein family member B	BCL7B	7	72950686	72972332	Oncology II
252	P11274	Breakpoint cluster region protein	BCR	22	23521891	23660224	Inflammation
253	P23560	Brain-derived neurotrophic factor	BDNF	11	27676440	27743605	Cardiometabolic II
254	Q14457	Beclin-1	BECN1	17	40962152	40985367	Cardiometabolic II
255	Q00994	Protein BEX3	BEX3	X	102631268	102633005	Oncology II
256	P02818	Osteocalcin	BGLAP	1	156211753	156213112	Cardiometabolic II
257	P21810	Biglycan	BGN	X	152760397	152775012	Oncology
258	O14503	Class E basic helix-loop-helix protein 40	BHLHE40	3	5020801	5027008	Neurology II
259	Q9H2M3	S-methylmethionine--homocysteine S-methyltransferase BHMT2	BHMT2	5	78365540	78385289	Cardiometabolic II
260	P55957	BH3-interacting domain death agonist	BID	22	18216906	18257536	Inflammation
261	Q9UBW5	Bridging integrator 2	BIN2	12	51674822	51718452	Neurology
262	Q13490	Baculoviral IAP repeat-containing protein 2	BIRC2	11	102217942	102249401	Oncology
263	Q13867	Bleomycin hydrolase	BLMH	17	28575218	28619074	Cardiometabolic
264	Q8WV28	B-cell linker protein	BLNK	10	97951458	98031344	Inflammation II
265	Q6QNY1	Biogenesis of lysosome-related organelles complex 1 subunit 2	BLOC1S2	10	102033713	102046469	Neurology II
266	Q6QNY0	Biogenesis of lysosome-related organelles complex 1 subunit 3	BLOC1S3	19	45682003	45685059	Neurology II
267	P30043	Flavin reductase	BLVRB	19	40953696	40971747	Neurology
268	O95393	Bone morphogenetic protein 10	BMP10	2	69092613	69098649	Inflammation II
269	P12644	Bone morphogenetic protein 4	BMP4	14	54416454	54425479	Neurology
270	P22004	Bone morphogenetic protein 6	BMP6	6	7727030	7881655	Cardiometabolic
271	Q8N8U9	BMP-binding endothelial regulator protein	BMPER	7	33944523	34195484	Inflammation II
272	Q12982	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	BNIP2	15	59951345	59981733	Cardiometabolic II
273	O60238	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	BNIP3L	8	26240414	26363152	Inflammation II
274	Q9BWV1	Brother of CDO	BOC	3	112929850	113006303	Cardiometabolic
275	Q9Y3E2	BolA-like protein 1	BOLA1	1	149859440	149872351	Neurology II
276	Q9H3K6	BolA-like protein 2	BOLA2_BOLA2B	16	29464914	30205627	Cardiometabolic II
277	Q96DR5	BPI fold-containing family A member 2	BPIFA2	20	31749574	31769218	Cardiometabolic II
278	Q8TDL5	BPI fold-containing family B member 1	BPIFB1	20	31861286	31897684	Cardiometabolic
279	Q8N4F0	BPI fold-containing family B member 2	BPIFB2	20	31595406	31611515	Cardiometabolic II
280	Q7Z569	BRCA1-associated protein	BRAP	12	112079950	112123790	Oncology II
281	O95696	Bromodomain-containing protein 1	BRD1	22	50166931	50221160	Oncology II
282	P25440	Bromodomain-containing protein 2	BRD2	6	32936437	32949282	Neurology II
283	Q15059	Bromodomain-containing protein 3	BRD3	9	136895427	136933657	Cardiometabolic II
284	Q58F21	Bromodomain testis-specific protein	BRDT	1	92414928	92479983	Cardiometabolic II
285	Q8WUW1	Protein BRICK1	BRK1	3	10157276	10168874	Neurology
286	Q0VDD7	Break repair meiotic recombinase recruitment factor 1	BRME1	19	13993161	14017265	Neurology II
287	Q8IWQ3	Serine/threonine-protein kinase BRSK2	BRSK2	11	1411129	1483919	Neurology II
288	P35613	Basigin	BSG	19	571297	583493	Inflammation
289	Q8WZ55	Barttin	BSND	1	55464606	55476556	Oncology II
290	Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1	4	15704573	15739936	Neurology
291	Q10589	Bone marrow stromal antigen 2	BST2	19	17513748	17516457	Neurology
292	P35070	Probetacellulin	BTC	4	75669969	75719896	Oncology
293	P43251	Biotinidase	BTD	3	15642848	15687329	Inflammation II
294	Q7Z6A9	B- and T-lymphocyte attenuator	BTLA	3	112182815	112218408	Oncology II
295	Q13410	Butyrophilin subfamily 1 member A1	BTN1A1	6	26501449	26510650	Oncology II
296	Q7KYR7	Butyrophilin subfamily 2 member A1	BTN2A1	6	26458150	26476849	Inflammation
297	P78410	Butyrophilin subfamily 3 member A2	BTN3A2	6	26365387	26378546	Inflammation
298	A8MVZ5	Butyrophilin-like protein 10	BTNL10	1	228696356	228700006	Oncology II
299	Q9NSK7	Protein C19orf12	C19orf12	19	30191721	30206364	Neurology
